SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150414_031500_2803,65,2015.04.14 03:15:00,2015.04.16 21:03:38,Tuesday,EURUSD,LONG,1.05818,1.05102,1.07966,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,OK,DISCOUNT,TRENDING,5.44,11.26,0.80,14.70,27.75,21.49,2.0920,3.00,3.001,214.6,50.7,3948,240,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,0,-1,0,2
ATLAS_20150417_033000_2817,67,2015.04.17 03:30:00,2015.04.17 17:00:00,Friday,EURUSD,LONG,1.07814,1.06146,1.12818,0.01,0.50,NONE,125,A+,BEARISH,NEUTRAL,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,PREMIUM,CHOPPY,7.71,14.67,1.10,14.27,15.12,-0.99,-0.0965,3.00,-0.059,66.7,47.1,810,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,0,0
ATLAS_20150421_181500_2963,69,2015.04.21 18:15:00,2015.04.23 10:03:38,Tuesday,EURUSD,LONG,1.07549,1.06734,1.09994,0.01,0.50,NEWYORK,125,A+,NEUTRAL,BEARISH,NEUTRAL,BEARISH,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,16.77,12.96,0.60,3.58,29.74,-8.15,-0.8005,3.00,-1.000,45.5,81.3,2388,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150501_100000_3415,71,2015.05.01 10:00:00,2015.05.01 17:00:00,Friday,EURUSD,LONG,1.12509,1.10608,1.18212,0.01,0.50,NONE,125,A+,BULLISH,NEUTRAL,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,9.43,9.32,1.00,10.61,30.86,2.27,0.2225,3.00,0.119,33.6,20.2,420,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20150504_100000_3444,73,2015.05.04 10:00:00,2015.05.04 10:16:27,Monday,EURUSD,LONG,1.11845,1.11642,1.12454,0.02,0.50,NONE,125,A+,BULLISH,BEARISH,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,8.56,7.79,0.60,7.01,36.98,-4.06,-0.3995,3.00,-1.000,2.8,20.2,16,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20150508_153000_3789,75,2015.05.08 15:30:00,2015.05.08 15:37:13,Friday,EURUSD,LONG,1.12723,1.11996,1.14904,0.01,0.50,NONE,125,A+,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,15.75,13.32,0.90,5.71,25.02,-7.28,-0.7215,3.00,-1.001,14.3,72.6,7,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150512_054500_3902,77,2015.05.12 05:45:00,2015.05.13 15:39:26,Tuesday,EURUSD,LONG,1.11644,1.11205,1.12961,0.01,0.50,NONE,125,A+,BEARISH,NEUTRAL,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,DISCOUNT,TRENDING,7.09,8.09,1.70,23.97,35.58,13.18,1.2894,3.00,3.002,131.6,11.8,2034,120,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,0,-1,0,2
ATLAS_20150513_154500_3903,79,2015.05.13 15:54:26,2015.05.15 17:00:00,Wednesday,EURUSD,LONG,1.13117,1.11237,1.18757,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,PREMIUM,RANGING,18.45,13.47,1.10,5.96,21.26,4.07,0.3966,3.00,0.216,132.5,9.5,2945,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,0,1
ATLAS_20150521_051500_4177,81,2015.05.21 05:15:00,2015.05.22 16:01:39,Thursday,EURUSD,LONG,1.11254,1.10516,1.13468,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,6.88,12.21,1.50,21.81,43.33,-7.38,-0.7243,3.00,-1.000,81.5,73.5,2086,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150522_161500_4178,84,2015.05.22 16:16:39,2015.05.22 16:26:14,Friday,EURUSD,LONG,1.10273,1.10158,1.10618,0.04,0.50,NEWYORK,120,A+,BEARISH,NEUTRAL,BEARISH,NEUTRAL,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,BLOCKED,DISCOUNT,TRENDING,22.68,13.55,0.90,3.97,42.68,2.00,0.1959,3.00,0.435,11.5,4.2,9,0,StopLoss,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,-1,0,1,2
ATLAS_20150525_100000_4207,87,2015.05.25 10:00:00,2015.05.25 10:54:40,Monday,EURUSD,LONG,1.10048,1.09665,1.11197,0.01,0.50,NONE,125,A+,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,OK,DISCOUNT,TRENDING,7.16,8.15,1.50,20.96,29.87,-3.84,-0.3769,3.00,-1.003,2.3,38.2,54,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150528_034500_4443,89,2015.05.28 03:45:00,2015.05.29 17:00:00,Thursday,EURUSD,LONG,1.09155,1.08085,1.12365,0.01,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,5.48,11.65,1.40,25.55,38.16,7.75,0.7549,3.00,0.724,84.4,47.4,2235,120,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150602_040000_4544,91,2015.06.02 04:00:00,2015.06.02 16:06:18,Tuesday,EURUSD,LONG,1.09312,1.08765,1.10953,0.01,0.50,NONE,125,A+,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,OK,DISCOUNT,RANGING,5.86,11.27,1.50,25.58,23.56,16.41,1.5733,3.00,3.000,163.7,16.0,726,0,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,0,0,1,1
