SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20160816_064500_5607,73,2016.08.16 06:45:00,2016.08.19 17:00:00,Tuesday,XAUUSD,LONG,1346.79,1325.70,1410.06,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,OK,PREMIUM,TRENDING,1.26,1.14,0.36,28.56,37.70,-0.34,-0.0292,3.00,-0.081,11.2,11.2,4935,300,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20160909_151500_6676,75,2016.09.09 15:15:00,2016.09.09 17:00:00,Friday,XAUUSD,LONG,1337.41,1322.50,1382.14,0.03,0.50,NONE,125,A+,BULLISH,BEARISH,BULLISH,NEUTRAL,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.30,0.95,0.30,23.05,21.48,-19.02,-1.6600,3.00,-4.252,0.5,7.1,105,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,1
ATLAS_20160921_211500_7270,77,2016.09.21 21:15:00,2016.09.23 17:00:00,Wednesday,XAUUSD,LONG,1332.77,1301.94,1425.26,0.01,0.50,NONE,120,A+,NEUTRAL,BULLISH,BEARISH,NEUTRAL,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,BLOCKED,PREMIUM,TRENDING,2.26,1.81,0.24,10.62,33.64,5.76,0.5002,3.00,1.868,10.8,5.7,2625,120,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20160926_161500_7320,79,2016.09.26 16:15:00,2016.09.28 09:55:37,Monday,XAUUSD,LONG,1341.65,1323.73,1395.41,0.03,0.50,NEWYORK,125,A+,NEUTRAL,BULLISH,BULLISH,BEARISH,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.28,1.05,0.30,23.36,46.28,-53.82,-4.9029,3.00,-10.011,0.3,17.9,2500,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,-1,1,2
ATLAS_20160930_160000_7497,81,2016.09.30 16:00:00,2016.09.30 17:00:00,Friday,XAUUSD,LONG,1327.49,1305.94,1392.14,0.02,0.50,NEWYORK,125,A+,NEUTRAL,BULLISH,BEARISH,BEARISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,PREMIUM,TRENDING,1.46,1.16,0.24,16.40,34.66,-10.02,-0.9212,3.00,-2.325,0.4,6.5,60,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,0,2
ATLAS_20161019_181500_8443,83,2016.10.19 18:15:00,2016.10.21 17:00:00,Wednesday,XAUUSD,LONG,1272.29,1244.92,1354.40,0.01,0.50,NEWYORK,120,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,RANGING,1.76,1.19,0.26,14.78,22.46,-6.17,-0.5705,3.00,-2.254,2.2,11.3,2805,180,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20161024_154500_8491,85,2016.10.24 15:45:00,2016.10.28 17:00:00,Monday,XAUUSD,LONG,1270.90,1251.03,1330.51,0.02,0.50,NONE,125,A+,NEUTRAL,BULLISH,BULLISH,NEUTRAL,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.66,1.03,0.31,18.65,34.01,2.30,0.2122,3.00,0.579,5.6,10.6,5835,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,2
ATLAS_20161101_100000_8592,89,2016.11.01 10:00:00,2016.11.04 17:00:00,Tuesday,XAUUSD,LONG,1279.78,1261.11,1335.79,0.02,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,BEARISH,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,0.98,0.85,0.33,33.55,32.17,45.72,4.0638,3.00,12.244,28.2,1.3,4740,300,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,-1,1,2
ATLAS_20161128_040000_9681,91,2016.11.28 04:00:00,2016.12.02 17:00:00,Monday,XAUUSD,LONG,1195.94,1160.11,1303.43,0.01,0.50,NONE,125,A+,NEUTRAL,BULLISH,BEARISH,NEUTRAL,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,OK,PREMIUM,TRENDING,1.93,2.15,0.24,12.43,56.64,-21.80,-1.9760,3.00,-6.084,1.6,35.3,6540,420,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20161227_100000_10798,93,2016.12.27 10:00:00,2016.12.30 17:00:00,Tuesday,XAUUSD,LONG,1143.97,1116.77,1225.57,0.02,0.50,NONE,120,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,BLOCKED,PREMIUM,TRENDING,1.63,1.49,0.24,14.74,46.01,31.58,2.7828,3.00,5.805,19.2,8.3,4740,300,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,0,2
ATLAS_20170103_180000_10855,97,2017.01.03 18:00:00,2017.01.06 17:00:00,Tuesday,XAUUSD,LONG,1155.12,1136.41,1211.25,0.03,0.50,NEWYORK,120,A+,NEUTRAL,BULLISH,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,BLOCKED,PREMIUM,RANGING,2.78,1.66,0.25,9.00,22.35,63.60,5.3190,3.00,11.331,29.8,1.7,4260,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,1,-1,0,1
ATLAS_20170109_153000_10902,101,2017.01.09 15:30:00,2017.01.13 17:00:00,Monday,XAUUSD,LONG,1181.46,1160.84,1243.32,0.02,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,OK,PREMIUM,TRENDING,1.48,1.17,0.24,16.24,25.07,15.84,1.2941,3.00,3.841,25.4,4.4,5850,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,-1,0,2
